run_id,started_at,finished_at,status,config_path,config_sha256,git_commit,dataset_md5,seed,device,runtime_seconds,best_epoch,best_val_accuracy,result_path,notes
smoke_test-seed2025-20260713T091216Z,2026-07-13T09:12:16.338997+00:00,,running,configs/smoke_test.yaml,9fb1291a804c903ea319bf1ad75b0e03f738152348c207e86b9dc356c145f719,cdf2c14043bf87fae9657a61264e75950d1085e7,dbe61da7dc7b06c69c10dbbea0a13b40,2025,cpu,,,,,
smoke_test-seed2025-20260713T091216Z,2026-07-13T09:12:16.338997+00:00,2026-07-13T09:12:24.514742+00:00,paused,configs/smoke_test.yaml,9fb1291a804c903ea319bf1ad75b0e03f738152348c207e86b9dc356c145f719,cdf2c14043bf87fae9657a61264e75950d1085e7,dbe61da7dc7b06c69c10dbbea0a13b40,2025,cpu,8.140,0,1.0,results/smoke_test-seed2025-20260713T091216Z,intentional epoch-boundary resume check
smoke_test-seed2025-20260713T091216Z,2026-07-13T09:12:51.285153+00:00,,running,configs/smoke_test.yaml,9fb1291a804c903ea319bf1ad75b0e03f738152348c207e86b9dc356c145f719,cdf2c14043bf87fae9657a61264e75950d1085e7,dbe61da7dc7b06c69c10dbbea0a13b40,2025,cpu,,,,,
smoke_test-seed2025-20260713T091216Z,2026-07-13T09:12:51.285153+00:00,2026-07-13T09:12:59.628927+00:00,completed,configs/smoke_test.yaml,9fb1291a804c903ea319bf1ad75b0e03f738152348c207e86b9dc356c145f719,cdf2c14043bf87fae9657a61264e75950d1085e7,dbe61da7dc7b06c69c10dbbea0a13b40,2025,cpu,8.313,1,1.0,results/smoke_test-seed2025-20260713T091216Z,
smoke_test-seed2025-20260713T091547Z,2026-07-13T09:15:47.008923+00:00,,running,configs/smoke_test.yaml,9fb1291a804c903ea319bf1ad75b0e03f738152348c207e86b9dc356c145f719,e3ecc5cd3c2f55d2fb97e7d66fef6ae863fc4f5d,dbe61da7dc7b06c69c10dbbea0a13b40,2025,cpu,,,,,
smoke_test-seed2025-20260713T091547Z,2026-07-13T09:15:47.008923+00:00,2026-07-13T09:15:55.091449+00:00,paused,configs/smoke_test.yaml,9fb1291a804c903ea319bf1ad75b0e03f738152348c207e86b9dc356c145f719,e3ecc5cd3c2f55d2fb97e7d66fef6ae863fc4f5d,dbe61da7dc7b06c69c10dbbea0a13b40,2025,cpu,8.046,0,0.5,results/smoke_test-seed2025-20260713T091547Z,intentional epoch-boundary resume check
smoke_test-seed2025-20260713T091547Z,2026-07-13T09:16:16.382053+00:00,,running,configs/smoke_test.yaml,9fb1291a804c903ea319bf1ad75b0e03f738152348c207e86b9dc356c145f719,e3ecc5cd3c2f55d2fb97e7d66fef6ae863fc4f5d,dbe61da7dc7b06c69c10dbbea0a13b40,2025,cpu,,,,,
smoke_test-seed2025-20260713T091547Z,2026-07-13T09:16:16.382053+00:00,2026-07-13T09:16:24.276273+00:00,completed,configs/smoke_test.yaml,9fb1291a804c903ea319bf1ad75b0e03f738152348c207e86b9dc356c145f719,e3ecc5cd3c2f55d2fb97e7d66fef6ae863fc4f5d,dbe61da7dc7b06c69c10dbbea0a13b40,2025,cpu,7.843,0,0.5,results/smoke_test-seed2025-20260713T091547Z,
sensitivity_h1-seed2025-20260713T152015Z,2026-07-13T15:20:15.298776+00:00,,running,configs/sensitivity_runs/H1.yaml,4d9c4ab833d66aeb3badb4e7316c90a641172564dd87d296eb920d6df0a57586,71a3606972984dd0feba0aee73d2aba3d198bcd3,dbe61da7dc7b06c69c10dbbea0a13b40,2025,cuda,,,,,
sensitivity_h1-seed2025-20260713T152015Z,2026-07-13T15:20:15.298776+00:00,2026-07-13T15:46:56.510596+00:00,completed,configs/sensitivity_runs/H1.yaml,4d9c4ab833d66aeb3badb4e7316c90a641172564dd87d296eb920d6df0a57586,71a3606972984dd0feba0aee73d2aba3d198bcd3,dbe61da7dc7b06c69c10dbbea0a13b40,2025,cuda,1600.585,4,0.9784675615212528,results/sensitivity_h1-seed2025-20260713T152015Z,
